MASTER RESULTS — TEXT VERSION FOR A TEXT-ONLY AI

Source file: master_results.csv
Rows: 513
Columns: 15

COLUMN SCHEMA
- model: Model variant name
- seq_len: Sequence length used in evaluation/training condition
- decoys: Number of decoys / distractors
- repeats: Repeat count for the target pattern
- seed: Random seed
- val_acc: Validation accuracy
- router_acc1: Top-1 router accuracy
- recall_at_m: Recall at M retrieved candidates
- pointer_acc: Pointer accuracy after retrieval/disambiguation
- router_miss: Router miss rate
- pointer_miss: Pointer miss rate
- value_miss: Value miss rate
- infer_ms_no_y: Inference time in milliseconds (no_y variant)
- peak_mem_mb: Peak memory in MB
- run_dir: Run directory path

PARSING NOTE
The table below is TAB-SEPARATED (TSV).
Each line after the header is one row.
Do not assume sorting beyond the original file order.

BEGIN_TSV
model	seq_len	decoys	repeats	seed	val_acc	router_acc1	recall_at_m	pointer_acc	router_miss	pointer_miss	value_miss	infer_ms_no_y	peak_mem_mb	run_dir
rft_base	1024	128	2	0	0.837812	0.761094	0.999687	0.841667	0.000313	0.158281	0.0175	2.832816	149.901367	runs/20260331_051032__step2_base_r2_d128/model=rft_base__L=1024__seed=0__decoys=128__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	128	2	1	0.832969	0.758125	0.999687	0.83651	0.000313	0.163438	0.020938	2.826364	141.512695	runs/20260331_051032__step2_base_r2_d128/model=rft_base__L=1024__seed=1__decoys=128__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	128	2	2	0.842344	0.774062	1	0.848906	0	0.151094	0.019219	2.873445	141.512695	runs/20260331_051032__step2_base_r2_d128/model=rft_base__L=1024__seed=2__decoys=128__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	128	4	0	0.840313	0.774844	1	0.845469	0	0.154531	0.0175	2.82178	149.897461	runs/20260331_085609__step2_base_r4_d128/model=rft_base__L=1024__seed=0__decoys=128__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	128	4	1	0.841719	0.773281	0.999375	0.847115	0.000625	0.152812	0.017344	2.874916	141.512695	runs/20260331_085609__step2_base_r4_d128/model=rft_base__L=1024__seed=1__decoys=128__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	128	4	2	0.844375	0.796719	0.999844	0.849365	0.000156	0.150625	0.018594	2.821669	141.512695	runs/20260331_085609__step2_base_r4_d128/model=rft_base__L=1024__seed=2__decoys=128__repeats=4__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	1	0	0.83875	0.777656	0.999062	0.842521	0.000937	0.157344	0.018125	2.883381	149.900879	runs/20260331_022303__step2_base_r1_d256/model=rft_base__L=1024__seed=0__decoys=256__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	1	1	0.839688	0.778438	0.999687	0.841198	0.000313	0.15875	0.018125	2.936933	141.512695	runs/20260331_022303__step2_base_r1_d256/model=rft_base__L=1024__seed=1__decoys=256__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	1	2	0.852187	0.783125	0.999531	0.857125	0.000469	0.142813	0.020625	2.885279	141.512695	runs/20260331_022303__step2_base_r1_d256/model=rft_base__L=1024__seed=2__decoys=256__repeats=1__topm=16__lr=0.0003__bs=16__steps=2000
rft_base	1024	256	2	0	0.832812	0.788125	0.998906	0.837979	0.001094	0.161875	0.018437	2.837956	149.897461	runs/20260331_060951__step2_base_r2_d256/model=rft_base__L=1024__seed=0__decoys=256__repeats=2__topm=16__lr=0.0003__bs=16__steps=2000
